Week,Start Date,,,,Expiry Date,,,Wifi Password
CW01,2021-01-04,Monday,9:00 a.m., - ,2021-01-10,Sunday,18:00 p.m.,6894-6897
CW02,2021-01-11,Monday,9:00 a.m., - ,2021-01-17,Sunday,18:00 p.m.,6581-9182
CW03,2021-01-18,Monday,9:00 a.m., - ,2021-01-24,Sunday,18:00 p.m.,1562-8267
CW04,2021-01-25,Monday,9:00 a.m., - ,2021-01-31,Sunday,18:00 p.m.,5015-6150
CW05,2021-02-01,Monday,9:00 a.m., - ,2021-02-07,Sunday,18:00 p.m.,1441-3348
CW06,2021-02-08,Monday,9:00 a.m., - ,2021-02-14,Sunday,18:00 p.m.,7045-4545
CW07,2021-02-15,Monday,9:00 a.m., - ,2021-02-21,Sunday,18:00 p.m.,8554-2534
CW08,2021-02-22,Monday,9:00 a.m., - ,2021-02-28,Sunday,18:00 p.m.,3906-1921
CW09,2021-03-01,Monday,9:00 a.m., - ,2021-03-07,Sunday,18:00 p.m.,9370-6668
CW10,2021-03-08,Monday,9:00 a.m., - ,2021-03-14,Sunday,18:00 p.m.,8284-9054
CW11,2021-03-15,Monday,9:00 a.m., - ,2021-03-21,Sunday,18:00 p.m.,2202-3459
CW12,2021-03-22,Monday,9:00 a.m., - ,2021-03-28,Sunday,18:00 p.m.,9689-6419
CW13,2021-03-29,Monday,9:00 a.m., - ,2021-04-04,Sunday,18:00 p.m.,2070-1275
CW14,2021-04-05,Monday,9:00 a.m., - ,2021-04-11,Sunday,18:00 p.m.,4010-1046
CW15,2021-04-12,Monday,9:00 a.m., - ,2021-04-18,Sunday,18:00 p.m.,3988-3035
CW16,2021-04-19,Monday,9:00 a.m., - ,2021-04-25,Sunday,18:00 p.m.,5482-9650
CW17,2021-04-26,Monday,9:00 a.m., - ,2021-05-02,Sunday,18:00 p.m.,7356-9219
CW18,2021-05-03,Monday,9:00 a.m., - ,2021-05-09,Sunday,18:00 p.m.,5984-4618
CW19,2021-05-10,Monday,9:00 a.m., - ,2021-05-16,Sunday,18:00 p.m.,5084-6007
CW20,2021-05-17,Monday,9:00 a.m., - ,2021-05-23,Sunday,18:00 p.m.,1657-5707
CW21,2021-05-24,Monday,9:00 a.m., - ,2021-05-30,Sunday,18:00 p.m.,8319-9302
CW22,2021-05-31,Monday,9:00 a.m., - ,2021-06-06,Sunday,18:00 p.m.,5376-7473
CW23,2021-06-07,Monday,9:00 a.m., - ,2021-06-13,Sunday,18:00 p.m.,1208-3699
CW24,2021-06-14,Monday,9:00 a.m., - ,2021-06-20,Sunday,18:00 p.m.,7009-4395
CW25,2021-06-21,Monday,9:00 a.m., - ,2021-06-27,Sunday,18:00 p.m.,9037-5484
CW26,2021-06-28,Monday,9:00 a.m., - ,2021-07-04,Sunday,18:00 p.m.,5377-1236
CW27,2021-07-05,Monday,9:00 a.m., - ,2021-07-11,Sunday,18:00 p.m.,6882-8935
CW28,2021-07-12,Monday,9:00 a.m., - ,2021-07-18,Sunday,18:00 p.m.,9221-6810
CW29,2021-07-19,Monday,9:00 a.m., - ,2021-07-25,Sunday,18:00 p.m.,9063-9388
CW30,2021-07-26,Monday,9:00 a.m., - ,2021-08-01,Sunday,18:00 p.m.,4189-4020
CW31,2021-08-02,Monday,9:00 a.m., - ,2021-08-08,Sunday,18:00 p.m.,1375-7709
CW32,2021-08-09,Monday,9:00 a.m., - ,2021-08-15,Sunday,18:00 p.m.,7021-5642
CW33,2021-08-16,Monday,9:00 a.m., - ,2021-08-22,Sunday,18:00 p.m.,6259-1199
CW34,2021-08-23,Monday,9:00 a.m., - ,2021-08-29,Sunday,18:00 p.m.,2234-2887
CW35,2021-08-30,Monday,9:00 a.m., - ,2021-09-05,Sunday,18:00 p.m.,9863-6542
CW36,2021-09-06,Monday,9:00 a.m., - ,2021-09-12,Sunday,18:00 p.m.,3590-5052
CW37,2021-09-13,Monday,9:00 a.m., - ,2021-09-19,Sunday,18:00 p.m.,1973-3142
CW38,2021-09-20,Monday,9:00 a.m., - ,2021-09-26,Sunday,18:00 p.m.,2389-9281
CW39,2021-09-27,Monday,9:00 a.m., - ,2021-10-03,Sunday,18:00 p.m.,2250-1199
CW40,2021-10-04,Monday,9:00 a.m., - ,2021-10-10,Sunday,18:00 p.m.,2884-9969
CW41,2021-10-11,Monday,9:00 a.m., - ,2021-10-17,Sunday,18:00 p.m.,3401-5351
CW42,2021-10-18,Monday,9:00 a.m., - ,2021-10-24,Sunday,18:00 p.m.,6481-4462
CW43,2021-10-25,Monday,9:00 a.m., - ,2021-10-31,Sunday,18:00 p.m.,7106-9326
CW44,2021-11-01,Monday,9:00 a.m., - ,2021-11-07,Sunday,18:00 p.m.,3067-8502
CW45,2021-11-08,Monday,9:00 a.m., - ,2021-11-14,Sunday,18:00 p.m.,6281-2315
CW46,2021-11-15,Monday,9:00 a.m., - ,2021-11-21,Sunday,18:00 p.m.,9819-2592
CW47,2021-11-22,Monday,9:00 a.m., - ,2021-11-28,Sunday,18:00 p.m.,7594-5596
CW48,2021-11-29,Monday,9:00 a.m., - ,2021-12-05,Sunday,18:00 p.m.,9035-4323
CW49,2021-12-06,Monday,9:00 a.m., - ,2021-12-12,Sunday,18:00 p.m.,1455-7269
CW50,2021-12-13,Monday,9:00 a.m., - ,2021-12-19,Sunday,18:00 p.m.,3372-3509
CW51,2021-12-20,Monday,9:00 a.m., - ,2021-12-26,Sunday,18:00 p.m.,4303-6905
CW52,2021-12-27,Monday,9:00 a.m., - ,2022-01-02,Sunday,18:00 p.m.,8287-8467
